,Torque,Angle,Muscle 0,Muscle 1,Muscle 2,Muscle 3
0,-5.048,0.175,4562.40679824657,4701.851784238771,4944.097301800331,4688.040398001317
1,-3.048,0.175,4563.186745753105,4697.9159500483565,4943.007220865478,4769.714817272795
2,-3.7146666666666666,0.175,4563.964931512674,4693.971352856983,4941.932769603291,4820.968937980559
3,-4.048,0.175,4564.740793398772,4690.019321527134,4940.874722039338,4842.802334286124
4,-4.248,0.175,4565.513762412699,4686.061184543749,4939.833844315047,4839.124659937253
5,-4.381333333333334,0.175,4566.283263092665,4682.098268701751,4938.810893820627,4816.098658808167
6,-4.505142857142857,0.175,4567.048713935965,4678.131897794119,4937.806618331055,4781.226747449255
7,-4.6105,0.175,4567.809527833973,4674.163391302439,4936.821755146612,4742.317361713219
8,-4.214666666666666,0.175,4568.565112519698,4670.194063091947,4935.857030239527,4706.479635125446
9,-3.898,0.175,4569.314871027627,4666.225220113147,4934.9131574082885,4679.284883190037
10,-4.0298181818181815,0.175,4570.058202165563,4662.258161112151,4933.990837441214,4664.2029260167665
11,-4.139666666666667,0.175,4570.794500998132,4658.294175351957,4933.09075729085,4662.3757487671855
12,-3.9018461538461535,0.175,4571.523159341627,4654.334541346881,4932.213589260746,4672.737874509872
13,-4.012285714285714,0.175,4572.243566269781,4650.38052561241,4931.359990206127,4692.440604933364
14,-4.081333333333333,0.175,4572.9551086300535,4646.43338143271,4930.530600749929,4717.494083838953
15,-4.15425,0.175,4573.657171569962,4642.494347648034,4929.726044515631,4743.51338884319
16,-4.206823529411765,0.175,4574.3491390729405,4638.5646474642,4928.946927378276,4766.446314328476
17,-4.253555555555556,0.175,4575.030394503185,4634.645487286302,4928.193836735062,4783.171715694528
18,-4.295368421052632,0.175,4575.700321158899,4630.738055578731,4927.46734079683,4791.885571596454
19,-4.333,0.175,4576.358302833335,4626.843521753498,4926.767987901804,4792.231935575131
20,-4.36704761904762,0.175,4577.0037243830075,4622.963035088793,4926.09630585292,4785.180618632582
21,-4.398,0.175,4577.6359723024525,4619.097723679602,4925.452801280064,4772.695198201687
22,-4.2523478260869565,0.175,4578.254435304888,4615.248693422099,4924.8379590285485,4757.266989820977
23,-4.285499999999999,0.175,4578.858504908139,4611.417027033434,4924.252241575117,4741.408034788924
24,-4.315999999999999,0.175,4579.447576025204,4607.603783108409,4923.696088472735,4727.196689997994
25,-4.316000000000001,0.175,4580.0210475588365,4603.8099952144075,4923.169915825345,4715.9537428412705
26,-4.476,0.175,4580.578322999522,4600.036671025858,4922.674115793686,4708.098540044655
27,-4.476,0.175,4581.118811026237,4596.284791499328,4922.209056133143,4703.198907203985
28,-4.475999999999999,0.175,4581.641926109365,4592.555310090303,4921.775079764467,4700.1921995099965
29,-4.484,0.175,4582.147089115137,4588.8491520125035,4921.372504378029,4697.724116578324
30,-4.324,0.175,4582.633727910951,4585.167213540565,4921.001622072136,4694.532172589459
31,-4.316000000000001,0.175,4583.101277970915,4581.510361356729,4920.66269902573,4689.795081398854
32,-4.304,0.175,4583.549182980903,4577.87943194214,4920.3559752056435,4683.378353730849
33,-4.464,0.175,4583.976895442421,4574.275231013237,4920.081664108448,4675.928052265212
34,-4.6240000000000006,0.175,4584.383877274534,4570.698533003616,4919.839952536781,4668.79466237965
35,-4.620000000000001,0.175,4584.76960041309,4567.15008059167,4919.631000409929,4663.8017737767395
36,-4.448,0.175,4585.1335474064435,4563.630584274212,4919.454940608377,4662.903731297662
37,-4.448,0.175,4585.47521200688,4560.140721986186,4919.311878851971,4667.797310644539
38,-4.432,0.175,4585.79409975694,4556.681138766482,4919.201893611292,4679.561149438349
39,-4.432,0.175,4586.0897285698275,4553.2524464697535,4919.125036051835,4698.3917135753
40,-4.424,0.175,4586.361629303105,4549.855223524027,4919.081330010593,4723.487066652133
41,-4.424,0.175,4586.609346324904,4546.490014733783,4919.070772004615,4753.102937219421
42,-4.424,0.175,4586.832438071886,4543.157331128076,4919.093331271171,4784.774462090254
43,-4.424,0.175,4587.030477598216,4539.857649853135,4919.14894983911,4815.667159241808
44,-4.424,0.175,4587.203053114871,4536.591414108777,4919.237542631028,4842.9974914523855
45,-4.424,0.175,4587.3497685185885,4533.359033127878,4919.358997595853,4864.450920201734
46,-4.424,0.175,4587.470243909831,4530.160882198034,4919.513175871434,4878.525760535102
47,-4.424,0.175,4587.564116099167,4526.99730272447,4919.699911976699,4884.744258524546
48,-4.424,0.175,4587.631039101491,4523.868602333194,4919.919014032904,4883.695692145978
49,-4.424,0.175,4587.67068461755,4520.775055013343,4920.170264013477,4876.90571050086
50,-4.424,0.175,4587.682742502269,4517.716901297596,4920.4534180219,4866.556311528716
51,-4.424,0.175,4587.666921219405,4514.694348479539,4920.768206597017,4855.106466153152
52,-4.424,0.175,4587.622948282086,4511.707570866828,4921.114335045141,4844.879944665389
53,-4.424,0.175,4587.550570678838,4508.756710068977,4921.491483798254,4837.691559640286
54,-4.416,0.175,4587.44955528471,4505.841875318585,4921.899308797562,4834.575117953691
