,0
0,2.4
1,2.5
2,2.5
3,2.6
4,2.5
5,2.5
6,2.5
7,2.5
8,2.5
9,2.5
10,2.5
11,2.5
12,2.4
13,2.5
14,2.5
15,2.5
16,2.5
17,2.5
18,2.6
19,2.5
20,2.5
21,2.5
22,2.5
23,2.5
24,2.5
25,2.5
26,2.5
27,2.5
28,2.5
29,2.5
30,2.5
31,2.5
32,2.5
33,2.5
34,2.4
35,2.4
36,2.5
37,2.4
38,2.4
39,2.2
40,2.5
41,2.4
42,2.4
43,2.5
44,2.4
45,2.4
46,2.5
47,2.4
48,2.4
49,2.5
50,2.4
51,2.4
52,2.4
53,2.5
54,2.4
55,2.4
56,2.5
57,2.4
58,2.4
59,2.5
60,2.4
61,2.5
62,2.4
63,2.4
64,2.4
65,2.4
66,2.5
67,2.4
68,2.4
69,2.4
70,2.2
71,2.5
72,2.4
73,2.4
74,2.4
75,2.4
76,2.4
77,2.4
78,2.4
79,2.5
80,2.2
81,2.5
82,2.4
83,2.5
84,2.5
85,2.4
86,2.5
87,2.2
88,2.4
89,2.5
90,2.4
91,2.5
92,2.4
93,2.4
94,2.4
95,2.4
96,2.4
97,2.4
98,2.5
99,2.4
100,2.4
101,2.4
102,2.4
103,2.5
104,2.5
105,2.5
106,2.6
107,2.4
108,2.5
109,2.5
110,2.5
111,2.5
112,2.4
113,2.5
114,2.5
115,2.4
116,2.4
117,2.4
118,2.4
119,2.4
120,2.4
121,2.4
122,2.4
123,2.4
124,2.5
125,2.4
126,2.4
127,2.4
128,2.4
129,2.4
130,2.5
131,2.2
132,2.4
133,2.5
134,2.5
135,2.5
136,2.5
137,2.5
138,2.5
139,2.6
140,2.5
141,2.5
142,2.4
143,2.4
144,2.4
145,2.5
146,2.5
147,2.4
148,2.5
149,2.5
150,2.5
151,2.5
152,2.4
153,2.5
154,2.5
155,2.5
156,2.5
157,2.5
158,2.5
159,2.5
160,2.5
161,2.4
162,2.5
163,2.6
164,2.5
165,2.5
166,2.6
167,2.5
168,2.6
169,2.5
170,2.6
171,2.6
172,2.4
173,2.7
174,2.7
175,2.7
176,2.7
177,2.6
178,2.6
179,2.6
180,2.6
181,2.6
182,2.5
183,2.6
184,2.5
185,2.5
186,2.6
187,2.5
188,2.6
189,2.6
190,2.5
191,2.5
192,2.5
193,2.5
194,2.4
195,2.5
196,2.6
197,2.5
198,2.5
199,2.6
200,2.5
201,2.6
202,2.5
203,2.5
204,2.6
205,2.5
206,2.5
207,2.5
208,2.4
209,2.4
210,2.5
211,2.5
212,2.2
213,2.2
214,2.4
215,2.5
216,2.6
217,2.5
218,2.6
219,2.6
220,2.5
221,2.6
222,2.6
223,2.6
224,2.6
225,2.6
226,2.6
227,2.5
228,2.5
229,2.5
230,2.5
231,2.6
232,2.5
233,2.6
234,2.6
235,2.6
236,2.6
237,2.6
238,2.7
239,2.6
240,2.5
241,2.5
242,2.4
243,2.5
244,2.5
245,2.5
246,2.5
247,2.4
248,2.5
249,2.4
250,2.4
251,2.5
252,2.5
253,2.5
254,2.2
255,2.6
256,2.6
257,2.4
258,2.5
259,2.5
260,2.5
261,2.5
262,2.5
263,2.6
264,2.6
265,2.5
266,2.5
267,2.5
268,2.6
269,2.6
270,2.5
271,2.6
272,2.5
273,2.5
274,2.4
275,2.2
276,2.4
277,2.2
278,2.4
279,2.5
280,2.4
281,2.5
282,2.4
283,2.5
284,2.5
285,2.5
286,2.4
287,2.5
288,2.5
289,2.5
290,2.6
291,2.5
292,2.4
293,2.4
294,2.4
295,2.2
296,2.5
297,2.4
298,2.4
299,2.4
300,2.5
301,2.5
302,2.4
303,2.4
304,2.4
305,2.5
306,2.4
307,2.4
308,2.2
309,2.4
310,2.2
311,2.4
312,2.2
313,2.4
314,2.4
315,2.2
316,2.4
317,2.2
318,2.2
319,2.2
320,2.4
321,2.2
322,2.2
323,2.4
324,2.2
325,2.4
326,2.5
327,2.2
328,2.4
329,2.4
330,2.4
331,2.5
332,2.5
333,2.5
334,2.5
335,2.4
336,2.4
337,2.5
338,2.4
339,2.6
340,2.5
341,2.5
342,2.4
343,2.4
344,2.5
345,2.4
346,2.4
347,2.4
348,2.4
349,2.4
350,2.4
351,2.5
352,2.4
353,2.4
354,2.4
355,2.4
356,2.5
357,2.4
358,2.5
359,2.4
360,2.5
361,2.5
362,2.4
363,2.5
364,2.5
365,2.5
366,2.5
367,2.4
368,2.4
369,2.5
370,2.5
371,2.5
372,2.4
373,2.4
374,2.4
375,2.5
376,2.4
377,2.4
378,2.5
379,2.4
380,2.4
381,2.5
382,2.4
383,2.5
384,2.5
385,2.5
386,2.5
387,2.2
388,2.4
389,2.4
390,2.4
391,2.4
392,2.4
393,2.4
394,2.5
395,2.4
396,2.4
397,2.5
398,2.5
399,2.4
400,2.5
401,2.4
402,2.4
403,2.4
404,2.4
405,2.4
406,2.4
407,2.2
408,2.5
409,2.5
410,2.5
411,2.4
412,2.4
413,2.5
414,2.5
415,2.4
416,2.5
417,2.5
418,2.5
419,2.5
420,2.5
421,2.5
422,2.5
423,2.4
424,2.5
425,2.5
426,2.5
427,2.4
428,2.2
429,2.5
430,2.5
431,2.4
432,2.4
433,2.5
434,2.4
435,2.4
436,2.5
437,2.4
438,2.4
439,2.5
440,2.5
441,2.5
442,2.4
443,2.4
444,2.4
445,2.5
446,2.4
447,2.4
448,2.5
449,2.5
450,2.5
451,2.5
452,2.5
453,2.4
454,2.4
455,2.4
456,2.5
457,2.4
458,2.4
459,2.4
460,2.5
461,2.6
462,2.4
463,2.5
464,2.5
465,2.5
466,2.5
467,2.5
468,2.4
469,2.2
470,2.5
471,2.5
472,2.4
473,2.4
474,2.4
475,2.5
476,2.5
477,2.5
478,2.4
479,2.5
480,2.5
481,2.5
482,2.5
483,2.5
484,2.5
485,2.5
486,2.5
487,2.4
488,2.4
489,2.4
490,2.4
491,2.5
492,2.4
493,2.4
494,2.5
495,2.5
496,2.5
497,2.5
498,2.4
499,2.5
500,2.5
501,2.4
502,2.2
503,2.5
504,2.5
505,2.4
506,2.5
507,2.4
508,2.4
509,2.4
510,2.2
511,2.6
512,2.4
513,2.5
514,2.5
515,2.5
516,2.5
517,2.5
518,2.5
519,2.5
520,2.5
521,2.5
522,2.4
523,2.4
524,2.4
525,2.4
526,2.5
527,2.4
528,2.5
529,2.5
530,2.4
531,2.5
532,2.4
533,2.5
534,2.4
535,2.5
536,2.5
537,2.4
538,2.5
539,2.4
540,2.4
541,2.4
542,2.4
543,2.4
544,2.4
545,2.5
546,2.6
547,2.4
548,2.5
549,2.5
550,2.5
551,2.4
552,2.4
553,2.5
554,2.5
555,2.4
556,2.5
557,2.4
558,2.4
559,2.5
560,2.4
561,2.5
562,2.4
563,2.5
564,2.5
565,2.4
566,2.5
567,2.4
568,2.5
569,2.5
570,2.5
571,2.5
572,2.4
573,2.5
574,2.4
575,2.4
576,2.5
577,2.5
578,2.5
579,2.5
580,2.5
581,2.5
582,2.4
583,2.4
584,2.5
585,2.5
586,2.5
587,2.4
588,2.5
589,2.4
590,2.4
591,2.5
592,2.4
593,2.4
594,2.5
595,2.5
596,2.6
597,2.4
598,2.5
599,2.5
600,2.5
601,2.5
602,2.2
603,2.5
604,2.5
605,2.5
606,2.4
607,2.2
608,2.4
609,2.4
610,2.5
611,2.5
612,2.4
613,2.4
614,2.5
615,2.4
616,2.5
617,2.4
618,2.5
619,2.4
620,2.4
621,2.4
622,2.4
623,2.4
624,2.5
625,2.5
626,2.5
627,2.4
628,2.4
629,2.6
630,2.5
631,2.5
632,2.4
633,2.5
634,2.5
635,2.4
636,2.5
637,2.4
638,2.5
639,2.5
640,2.5
641,2.5
642,2.4
643,2.2
644,2.5
645,2.4
646,2.5
647,2.5
648,2.5
649,2.5
650,2.6
651,2.5
652,2.4
653,2.6
654,2.4
655,2.4
656,2.5
657,2.4
658,2.4
659,2.5
660,2.4
661,2.5
662,2.4
663,2.4
664,2.4
665,2.5
666,2.5
667,2.4
668,2.4
669,2.5
670,2.4
671,2.5
672,2.2
673,2.4
674,2.5
675,2.5
676,2.5
677,2.4
678,2.4
679,2.4
680,2.4
681,2.5
682,2.4
683,2.5
684,2.2
685,2.4
686,2.5
687,2.4
688,2.4
689,2.5
690,2.5
691,2.4
692,2.4
693,2.5
694,2.4
695,2.4
696,2.5
697,2.5
698,2.4
699,2.5
700,2.4
701,2.5
702,2.4
703,2.5
704,2.5
705,2.4
706,2.4
707,2.2
708,2.4
709,2.4
710,2.5
711,2.5
712,2.4
713,2.4
714,2.5
715,2.5
716,2.5
717,2.4
718,2.5
719,2.5
720,2.5
721,2.4
722,2.4
723,2.4
724,2.4
725,2.2
726,2.5
727,2.4
728,2.4
729,2.4
730,2.4
731,2.6
732,2.4
733,2.5
734,2.5
735,2.5
736,2.5
737,2.4
738,2.4
739,2.5
740,2.4
741,2.5
742,2.5
743,2.5
744,2.4
745,2.5
746,2.5
747,2.4
748,2.5
749,2.5
750,2.4
751,2.5
752,2.2
753,2.4
754,2.5
755,2.4
756,2.5
757,2.4
758,2.4
759,2.4
760,2.5
761,2.5
762,2.4
763,2.4
764,2.4
765,2.4
766,2.2
767,2.4
768,2.4
769,2.4
770,2.5
771,2.5
772,2.4
773,2.4
774,2.5
775,2.4
776,2.5
777,2.4
778,2.4
779,2.4
780,2.4
781,2.5
782,2.4
783,2.4
784,2.5
785,2.4
786,2.5
787,2.4
788,2.4
789,2.4
790,2.4
791,2.4
792,2.4
793,2.4
794,2.4
795,2.5
796,2.5
797,2.4
798,2.4
799,2.5
800,2.5
801,2.5
802,2.4
803,2.4
804,2.4
805,2.4
806,2.5
807,2.2
808,2.4
809,2.5
810,2.4
811,2.5
812,2.4
813,2.4
814,2.4
815,2.5
816,2.5
817,2.4
818,2.5
819,2.4
820,2.4
821,2.5
822,2.2
823,2.4
824,2.4
825,2.4
826,2.5
827,2.4
828,2.5
829,2.5
830,2.4
831,2.5
832,2.4
833,2.4
834,2.5
835,2.5
836,2.5
837,2.4
838,2.4
839,2.4
840,2.5
841,2.5
842,2.2
843,2.5
844,2.4
845,2.4
846,2.4
847,2.4
848,2.4
849,2.5
850,2.4
851,2.5
852,2.4
853,2.4
854,2.5
855,2.4
856,2.5
857,2.4
858,2.4
859,2.5
860,2.4
861,2.5
862,2.2
863,2.5
864,2.4
865,2.5
866,2.5
867,2.5
868,2.5
869,2.5
870,2.5
871,2.5
872,2.4
873,2.4
874,2.5
875,2.4
876,2.5
877,2.4
878,2.5
879,2.4
880,2.5
881,2.5
882,2.4
883,2.5
884,2.5
885,2.5
886,2.4
887,2.4
888,2.4
889,2.4
890,2.5
891,2.5
892,2.4
893,2.4
894,2.4
895,2.5
896,2.5
897,2.4
898,2.4
899,2.2
900,2.5
901,2.5
902,2.4
903,2.4
904,2.4
905,2.5
906,2.5
907,2.4
908,2.5
909,2.4
910,2.6
911,2.5
912,2.5
913,2.4
914,2.4
915,2.4
916,2.5
917,2.5
918,2.4
919,2.5
920,2.4
921,2.5
922,2.4
923,2.5
924,2.5
925,2.4
926,2.5
927,2.4
928,2.4
929,2.4
930,2.5
931,2.5
932,2.4
933,2.4
934,2.4
935,2.5
936,2.5
937,2.4
938,2.4
