%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692649624037132978,461,1692649624037132978,,4298.0
1692649624039001703,462,1692649624039001703,,1064.0
1692649624041864871,463,1692649624041864871,,-286.0
1692649624085612773,464,1692649624085612773,,4298.0
1692649624088202714,465,1692649624088202714,,1064.0
1692649624090898990,466,1692649624090898990,,-288.0
1692649624134418010,467,1692649624134418010,,4297.0
1692649624136609792,468,1692649624136609792,,1063.0
1692649624140325307,469,1692649624140325307,,4298.0
1692649624160202741,470,1692649624160202741,,-286.0
1692649624206394433,471,1692649624206394433,,4298.0
1692649624209105253,472,1692649624209105253,,1064.0
1692649624211363554,473,1692649624211363554,,4297.0
1692649624230510473,474,1692649624230510473,,-286.0
1692649624277077198,475,1692649624277077198,,4298.0
1692649624279095649,476,1692649624279095649,,1063.0
1692649624281463861,477,1692649624281463861,,1604.0
1692649624301194906,478,1692649624301194906,,-293.0
1692649624349299907,479,1692649624349299907,,4298.0
1692649624352747917,480,1692649624352747917,,1604.0
1692649624371343612,481,1692649624371343612,,-287.0
1692649624413506984,482,1692649624413506984,,4297.0
1692649624415587663,483,1692649624415587663,,1063.0
1692649624417779684,484,1692649624417779684,,-288.0
1692649624461187839,485,1692649624461187839,,4298.0
1692649624463207244,486,1692649624463207244,,1063.0
1692649624465210437,487,1692649624465210437,,-289.0
1692649624514085531,488,1692649624514085531,,4297.0
1692649624516893863,489,1692649624516893863,,1604.0
1692649624536752939,490,1692649624536752939,,-279.0
1692649624578175783,491,1692649624578175783,,4298.0
1692649624580802917,492,1692649624580802917,,1063.0
1692649624583212614,493,1692649624583212614,,-293.0
1692649624625591993,494,1692649624625591993,,4298.0
1692649624627993583,495,1692649624627993583,,1063.0
1692649624630011081,496,1692649624630011081,,-285.0
1692649624678036212,497,1692649624678036212,,4299.0
1692649624680185079,498,1692649624680185079,,1604.0
1692649624700499773,499,1692649624700499773,,-286.0
1692649624745495080,500,1692649624745495080,,4298.0
1692649624747848749,501,1692649624747848749,,1063.0
1692649624749935388,502,1692649624749935388,,4298.0
1692649624771519660,503,1692649624771519660,,-291.0
1692649624813709974,504,1692649624813709974,,4298.0
1692649624817292213,505,1692649624817292213,,1063.0
1692649624820322275,506,1692649624820322275,,-292.0
1692649624866581439,507,1692649624866581439,,4298.0
1692649624869664192,508,1692649624869664192,,1604.0
1692649624889692783,509,1692649624889692783,,-287.0
1692649624930772304,510,1692649624930772304,,4298.0
1692649624933722734,511,1692649624933722734,,1064.0
1692649624937067270,512,1692649624937067270,,-285.0
1692649624978574037,513,1692649624978574037,,4298.0
1692649624981440544,514,1692649624981440544,,1063.0
1692649624983551740,515,1692649624983551740,,-290.0
1692649625026036977,516,1692649625026036977,,4298.0
1692649625029013395,517,1692649625029013395,,1064.0
1692649625031184196,518,1692649625031184196,,-291.0
1692649625078040122,519,1692649625078040122,,4298.0
1692649625081025123,520,1692649625081025123,,1604.0
1692649625100975275,521,1692649625100975275,,-289.0
1692649625141483068,522,1692649625141483068,,4299.0
1692649625144878387,523,1692649625144878387,,1063.0
1692649625147377252,524,1692649625147377252,,-290.0
1692649625191909313,525,1692649625191909313,,4298.0
1692649625203961372,526,1692649625203961372,,1064.0
1692649625206904172,527,1692649625206904172,,4298.0
1692649625217979669,528,1692649625217979669,,-292.0
1692649625262044668,529,1692649625262044668,,4298.0
1692649625264260530,530,1692649625264260530,,1064.0
1692649625266145467,531,1692649625266145467,,-291.0
1692649625288867473,532,1692649625288867473,,4298.0
1692649625291168689,533,1692649625291168689,,1064.0
1692649625312343835,534,1692649625312343835,,-286.0
1692649625357982873,535,1692649625357982873,,4298.0
1692649625360664844,536,1692649625360664844,,1064.0
1692649625362907648,537,1692649625362907648,,4298.0
1692649625382820844,538,1692649625382820844,,-294.0
1692649625425997972,539,1692649625425997972,,4298.0
1692649625428998231,540,1692649625428998231,,1063.0
1692649625431083679,541,1692649625431083679,,-289.0
1692649625469824314,542,1692649625469824314,,4298.0
1692649625471935510,543,1692649625471935510,,1063.0
1692649625476064920,544,1692649625476064920,,-284.0
1692649625517959356,545,1692649625517959356,,4297.0
1692649625521209955,546,1692649625521209955,,1064.0
1692649625524922132,547,1692649625524922132,,-288.0
1692649625570708513,548,1692649625570708513,,4298.0
1692649625573107242,549,1692649625573107242,,1063.0
1692649625575228929,550,1692649625575228929,,4298.0
1692649625594403982,551,1692649625594403982,,-288.0
1692649625642008781,552,1692649625642008781,,4298.0
1692649625644410610,553,1692649625644410610,,1604.0
1692649625664479494,554,1692649625664479494,,-294.0
1692649625706176519,555,1692649625706176519,,4299.0
1692649625710268497,556,1692649625710268497,,1063.0
1692649625712780714,557,1692649625712780714,,-286.0
1692649625755218982,558,1692649625755218982,,4298.0
1692649625757809638,559,1692649625757809638,,1064.0
1692649625759968519,560,1692649625759968519,,-293.0
1692649625801847696,561,1692649625801847696,,4298.0
1692649625804713487,562,1692649625804713487,,1064.0
1692649625806781530,563,1692649625806781530,,-285.0
1692649625850031375,564,1692649625850031375,,4298.0
1692649625852729558,565,1692649625852729558,,1064.0
1692649625855310440,566,1692649625855310440,,4298.0
1692649625876553297,567,1692649625876553297,,-286.0
1692649625918258666,568,1692649625918258666,,4298.0
1692649625920544147,569,1692649625920544147,,1064.0
1692649625923834800,570,1692649625923834800,,-293.0
1692649625966171979,571,1692649625966171979,,4298.0
1692649625968976736,572,1692649625968976736,,1064.0
1692649625970878124,573,1692649625970878124,,-287.0
1692649626017995834,574,1692649626017995834,,4298.0
1692649626021581411,575,1692649626021581411,,1604.0
1692649626041325569,576,1692649626041325569,,-290.0
1692649626081965684,577,1692649626081965684,,4298.0
1692649626083927869,578,1692649626083927869,,1064.0
1692649626087362289,579,1692649626087362289,,-295.0
1692649626129941225,580,1692649626129941225,,4298.0
1692649626131968975,581,1692649626131968975,,1064.0
1692649626133656740,582,1692649626133656740,,-288.0
1692649626177889347,583,1692649626177889347,,4298.0
1692649626180009365,584,1692649626180009365,,1064.0
1692649626181453227,585,1692649626181453227,,-282.0
1692649626222482919,586,1692649626222482919,,4298.0
1692649626225901365,587,1692649626225901365,,1064.0
1692649626228614568,588,1692649626228614568,,-283.0
1692649626269819974,589,1692649626269819974,,4299.0
1692649626272324562,590,1692649626272324562,,1064.0
1692649626275995731,591,1692649626275995731,,-289.0
1692649626317770004,592,1692649626317770004,,4299.0
1692649626319791316,593,1692649626319791316,,1064.0
1692649626321803331,594,1692649626321803331,,-287.0
1692649626365753412,595,1692649626365753412,,4299.0
1692649626367901086,596,1692649626367901086,,1064.0
1692649626369606494,597,1692649626369606494,,-285.0
1692649626414072751,598,1692649626414072751,,4298.0
1692649626416382789,599,1692649626416382789,,1064.0
1692649626418483018,600,1692649626418483018,,4298.0
1692649626440325260,601,1692649626440325260,,-283.0
