%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data.data
1692661686174306392,3543,1692661686174306392,,0.0
1692661686179623603,3544,1692661686179623603,,0.0
1692661686184384107,3545,1692661686184384107,,0.0
1692661686189529180,3546,1692661686189529180,,0.0
1692661686194423198,3547,1692661686194423198,,0.0
1692661686200694561,3548,1692661686200694561,,0.0
1692661686204330682,3549,1692661686204330682,,0.0
1692661686209449768,3550,1692661686209449768,,0.0
1692661686214351654,3551,1692661686214351654,,0.0
1692661686219606161,3552,1692661686219606161,,0.0
1692661686224327087,3553,1692661686224327087,,0.0
1692661686229556798,3554,1692661686229556798,,0.0
1692661686234303712,3555,1692661686234303712,,0.0
1692661686239512205,3556,1692661686239512205,,0.0
1692661686244577169,3557,1692661686244577169,,0.0
1692661686249498367,3558,1692661686249498367,,0.0
1692661686254506349,3559,1692661686254506349,,0.0
1692661686259548902,3560,1692661686259548902,,0.0
1692661686274513959,3563,1692661686274513959,,0.0
1692661686279842853,3564,1692661686279842853,,0.0
1692661686284709930,3565,1692661686284709930,,0.0
1692661686289890527,3566,1692661686289890527,,0.0
1692661686294739961,3567,1692661686294739961,,0.0
1692661686301121234,3568,1692661686301121234,,0.0
1692661686304666042,3569,1692661686304666042,,0.0
1692661686309604406,3570,1692661686309604406,,0.0
1692661686314465522,3571,1692661686314465522,,0.0
1692661686319690942,3572,1692661686319690942,,0.0
1692661686324985027,3573,1692661686324985027,,0.0
1692661686329708099,3574,1692661686329708099,,0.0
1692661686334539890,3575,1692661686334539890,,0.0
1692661686339740276,3576,1692661686339740276,,0.0
1692661686344525337,3577,1692661686344525337,,0.0
1692661686349766254,3578,1692661686349766254,,0.0
1692661686354543209,3579,1692661686354543209,,0.0
1692661686359726190,3580,1692661686359726190,,0.0
1692661686364548683,3581,1692661686364548683,,0.0
1692661686369725227,3582,1692661686369725227,,0.0
1692661686374515771,3583,1692661686374515771,,0.0
1692661686379779100,3584,1692661686379779100,,0.0
1692661686384543895,3585,1692661686384543895,,0.0
1692661686389738321,3586,1692661686389738321,,0.0
1692661686394557476,3587,1692661686394557476,,0.0
1692661686399860143,3588,1692661686399860143,,0.0
1692661686405717849,3589,1692661686405717849,,0.0
1692661686409921884,3590,1692661686409921884,,0.0
1692661686414735555,3591,1692661686414735555,,0.0
1692661686419470548,3592,1692661686419470548,,0.0
1692661686424807071,3593,1692661686424807071,,0.0
1692661686429635763,3594,1692661686429635763,,0.0
1692661686434532880,3595,1692661686434532880,,0.0
1692661686443616628,3596,1692661686443616628,,0.0
1692661686445541620,3597,1692661686445541620,,0.0
1692661686449913263,3598,1692661686449913263,,0.0
1692661686454545259,3599,1692661686454545259,,0.0
1692661686461362600,3600,1692661686461362600,,0.0
1692661686464554071,3601,1692661686464554071,,0.0
1692661686471914768,3602,1692661686471914768,,0.0
1692661686481243848,3603,1692661686481243848,,0.0
1692661686485114336,3604,1692661686485114336,,0.0
1692661686490143775,3605,1692661686490143775,,0.0
1692661686495344638,3606,1692661686495344638,,0.0
1692661686499854326,3607,1692661686499854326,,0.0
1692661686504450798,3608,1692661686504450798,,0.0
1692661686509403944,3609,1692661686509403944,,0.0
1692661686514322519,3610,1692661686514322519,,0.0
1692661686519503355,3611,1692661686519503355,,0.0
1692661686524315118,3612,1692661686524315118,,0.0
1692661686529563188,3613,1692661686529563188,,0.0
1692661686534373521,3614,1692661686534373521,,0.0
1692661686539566993,3615,1692661686539566993,,0.0
1692661686544369935,3616,1692661686544369935,,0.0
1692661686549524545,3617,1692661686549524545,,0.0
1692661686554352045,3618,1692661686554352045,,0.0
1692661686559474229,3619,1692661686559474229,,0.0
1692661686564409971,3620,1692661686564409971,,0.0
1692661686569465875,3621,1692661686569465875,,0.0
1692661686574318408,3622,1692661686574318408,,0.0
1692661686579540014,3623,1692661686579540014,,0.0
1692661686584324598,3624,1692661686584324598,,0.0
1692661686589506387,3625,1692661686589506387,,0.0
1692661686594398021,3626,1692661686594398021,,0.0
1692661686599612951,3627,1692661686599612951,,0.0
1692661686604456901,3628,1692661686604456901,,0.0
1692661686610332489,3629,1692661686610332489,,0.0
1692661686614508390,3630,1692661686614508390,,0.0
1692661686619943141,3631,1692661686619943141,,0.0
1692661686624541044,3632,1692661686624541044,,0.0
1692661686629597187,3633,1692661686629597187,,0.0
1692661686634465932,3634,1692661686634465932,,0.0
1692661686639650344,3635,1692661686639650344,,0.0
1692661686644461870,3636,1692661686644461870,,0.0
1692661686649824857,3637,1692661686649824857,,0.0
1692661686654661178,3638,1692661686654661178,,0.0
1692661686659893274,3639,1692661686659893274,,0.0
1692661686664751291,3640,1692661686664751291,,0.0
1692661686669702053,3641,1692661686669702053,,0.0
1692661686674746513,3642,1692661686674746513,,0.0
1692661686679836273,3643,1692661686679836273,,0.0
1692661686684636592,3644,1692661686684636592,,0.0
1692661686689963817,3645,1692661686689963817,,0.0
1692661686694869756,3646,1692661686694869756,,0.0
1692661686699797868,3647,1692661686699797868,,0.0
1692661686704485177,3648,1692661686704485177,,0.0
1692661686709447383,3649,1692661686709447383,,0.0
1692661686714915513,3650,1692661686714915513,,0.0
1692661686719760656,3651,1692661686719760656,,0.0
1692661686724577903,3652,1692661686724577903,,0.0
1692661686729788064,3653,1692661686729788064,,0.0
1692661686734372615,3654,1692661686734372615,,0.0
1692661686739639520,3655,1692661686739639520,,0.0
1692661686744424343,3656,1692661686744424343,,0.0
1692661686749550580,3657,1692661686749550580,,0.0
1692661686754365921,3658,1692661686754365921,,0.0
1692661686760188817,3659,1692661686760188817,,0.0
1692661686764815568,3660,1692661686764815568,,0.0
1692661686769868612,3661,1692661686769868612,,0.0
1692661686774392366,3662,1692661686774392366,,0.0
1692661686779903650,3663,1692661686779903650,,0.0
1692661686784711837,3664,1692661686784711837,,0.0
1692661686789813518,3665,1692661686789813518,,0.0
1692661686794746160,3666,1692661686794746160,,0.0
1692661686799956321,3667,1692661686799956321,,0.0
1692661686804674863,3668,1692661686804674863,,0.0
1692661686809902667,3669,1692661686809902667,,0.0
1692661686815604686,3670,1692661686815604686,,0.0
1692661686820231676,3671,1692661686820231676,,0.0
1692661686824829578,3672,1692661686824829578,,0.0
1692661686829593420,3673,1692661686829593420,,0.0
1692661686834893465,3674,1692661686834893465,,0.0
1692661686839821338,3675,1692661686839821338,,0.0
1692661686844678640,3676,1692661686844678640,,0.0
1692661686849541187,3677,1692661686849541187,,0.0
1692661686854440689,3678,1692661686854440689,,0.0
1692661686859621286,3679,1692661686859621286,,0.0
1692661686864451408,3680,1692661686864451408,,0.0
1692661686869502305,3681,1692661686869502305,,0.0
1692661686874358415,3682,1692661686874358415,,0.0
1692661686879637479,3683,1692661686879637479,,0.0
1692661686884404659,3684,1692661686884404659,,0.0
1692661686889515638,3685,1692661686889515638,,0.0
1692661686894405364,3686,1692661686894405364,,0.0
1692661686899616718,3687,1692661686899616718,,0.0
1692661686904457330,3688,1692661686904457330,,0.0
1692661686909566164,3689,1692661686909566164,,0.0
1692661686914466381,3690,1692661686914466381,,0.0
1692661686919741630,3691,1692661686919741630,,0.0
1692661686924481630,3692,1692661686924481630,,0.0
1692661686929755687,3693,1692661686929755687,,0.0
1692661686935448408,3694,1692661686935448408,,0.0
1692661686940202474,3695,1692661686940202474,,0.0
